TICKS,DIMENSION,VISION,MAX_JAIL_TERM,MOVEMENT,INITIAL_COP_DENSITY,INITIAL_AGENT_DENSITY,GOVERNMENT_LEGITIMACY,INDIVIDUAL_LEGITIMACY
100,50,7,30,true,0.04,0.7,0.82,false
tick,#QuietAgents,#JailedAgents,#ActiveAgents
0,1750,0,0
1,1409,0,341
2,1053,0,697
3,1006,0,744
4,1011,0,739
5,1020,0,730
6,1056,0,694
7,1072,0,678
8,1076,0,674
9,1076,0,674
10,1082,0,668
11,1081,0,669
12,1073,0,677
13,1067,0,683
14,1067,0,683
15,1076,0,674
16,1079,0,671
17,1082,0,668
18,1086,0,664
19,1095,0,655
20,1099,0,651
21,1104,0,646
22,1097,0,653
23,1109,0,641
24,1104,0,646
25,1117,0,633
26,1119,0,631
27,1120,0,630
28,1133,0,617
29,1123,0,627
30,1102,0,648
31,1097,0,653
32,1087,0,663
33,1106,0,644
34,1108,0,642
35,1103,0,647
36,1114,0,636
37,1108,0,642
38,1111,0,639
39,1112,0,638
40,1109,0,641
41,1110,0,640
42,1108,0,642
43,1118,0,632
44,1105,0,645
45,1112,0,638
46,1108,0,642
47,1113,0,637
48,1121,0,629
49,1117,0,633
50,1117,0,633
51,1123,0,627
52,1109,0,641
53,1110,0,640
54,1122,0,628
55,1123,0,627
56,1126,0,624
57,1117,0,633
58,1119,0,631
59,1129,0,621
60,1141,0,609
61,1134,0,616
62,1117,0,633
63,1116,0,634
64,1127,0,623
65,1116,0,634
66,1118,0,632
67,1109,0,641
68,1112,0,638
69,1119,0,631
70,1112,0,638
71,1105,0,645
72,1113,0,637
73,1099,0,651
74,1109,0,641
75,1112,0,638
76,1120,0,630
77,1121,0,629
78,1115,0,635
79,1119,0,631
80,1123,0,627
81,1126,0,624
82,1123,0,627
83,1120,0,630
84,1105,0,645
85,1120,0,630
86,1114,0,636
87,1128,0,622
88,1118,0,632
89,1111,0,639
90,1125,0,625
91,1127,0,623
92,1109,0,641
93,1122,0,628
94,1130,0,620
95,1134,0,616
96,1134,0,616
97,1127,0,623
98,1109,0,641
99,1110,0,640
100,1118,0,632
